election_year,pc_name,pc_no,type_category,state,winning_candidate,party,electors,votes,turnout,margin,margin_percent
1989,Jamnagar,3,GEN,Gujarat,Koradiya Chandresh Kumar Valjibhai (Chandresh Patel),Bharatiya Janta Party,"8,19,518","3,64,717",44.5 %,"45,574",12.5%
1989,Jamshedpur,50,GEN,Bihar [1947 - 1999],Shailendra Mahto,Jharkhand Mukti Morcha,"9,53,395","5,31,840",55.8 %,"8,884",1.7%
1989,Jangipur,8,GEN,West Bengal,Abedin Zainal,Communist Party Of India (MARXIST),"9,32,369","7,32,851",78.6 %,"39,181",5.3%
1989,Janjgir,14,GEN,Madhya Pradesh [1947 - 1999],Dalip Singh Judeo,Bharatiya Janta Party,"9,65,293","5,75,678",59.6 %,"98,893",17.2%
1989,Jaunpur,48,GEN,Uttar Pradesh [1947 - 1999],Raja Yadvendra Dutta,Bharatiya Janta Party,"9,85,506","4,85,676",49.3 %,"19,290",4.0%
1989,Jhabua,39,ST,Madhya Pradesh [1947 - 1999],Dileepsingh Bhuria,Indian National Congress,"8,76,800","4,37,814",49.9 %,"1,16,957",26.7%
1989,Jhalawar,15,GEN,Rajasthan,Vasundhara Rajey,Bharatiya Janta Party,"8,90,749","5,14,336",57.7 %,"1,46,541",28.5%
1989,Jhanjharpur,14,GEN,Bihar [1947 - 1999],Devandra Prassad Yadav,Janata Dal,"9,58,736","5,39,539",56.3 %,"1,59,336",29.5%
1989,Jhansi,61,GEN,Uttar Pradesh [1947 - 1999],Rajendra Agnihotri,Bharatiya Janta Party,"10,45,429","6,05,281",57.9 %,"1,03,198",17.0%
1989,Jhargram,33,ST,West Bengal,Matilal Hansda,Communist Party Of India (MARXIST),"8,77,223","7,11,333",81.1 %,"2,30,898",32.5%
1989,Jhunjhunu,4,GEN,Rajasthan,Jagdeep Jhankar,Janata Dal,"11,25,512","7,30,259",64.9 %,"1,61,981",22.2%
1989,Jodhpur,24,GEN,Rajasthan,Jaswant Singh S/o Sardar Singh,Bharatiya Janta Party,"10,87,557","6,02,362",55.4 %,"66,246",11.0%
1989,Jorhat,12,GEN,Assam,Data Not Available,-,-,-,-,-,-
1989,Joynagar,15,GEN,West Bengal,Sanat Kumar Mandal,Revolutionary Socialist Party,"9,32,168","7,58,242",81.3 %,"63,807",8.4%
1989,Jullundur,4,SC,Punjab,I.K.Gujral,Janata Dal,"9,37,892","5,54,482",59.1 %,"80,358",14.5%
1989,Junagadh,6,GEN,Gujarat,Shekhada Govindhhal Kanjibhai,Janata Dal,"9,15,517","4,60,709",50.3 %,"1,08,027",23.4%
1989,Kaira,19,ST,Gujarat,Chauhan Prabhatsinh Hathisinh,Janata Dal,"9,22,544","5,69,684",61.8 %,"1,09,203",19.2%
1989,Kairana,83,GEN,Uttar Pradesh [1947 - 1999],Har Pal,Janata Dal,"8,80,593","5,33,764",60.6 %,"1,21,829",22.8%
1989,Kaiserganj,30,GEN,Uttar Pradesh [1947 - 1999],Rudra Sen Chaudhary,Bharatiya Janta Party,"8,66,061","4,16,083",48.0 %,"3,827",0.9%
1989,Kakinada,7,GEN,Andhra Pradesh,Mallipudi Mangapathi Pallamraju,Indian National Congress,"9,79,213","7,24,677",74.0 %,"82,983",11.5%
1989,Kalahandi,14,GEN,Orissa,Bahkta Charan Das,Janata Dal,"8,40,712","4,76,306",56.7 %,"51,952",10.9%
1989,Kaliabor,11,GEN,Assam,Data Not Available,-,-,-,-,-,-
1989,Kanakapura,11,GEN,Karnataka,M.V.Chandrashekhara Murthy,Indian National Congress,"13,55,284","9,23,505",68.1 %,"2,55,221",27.6%
1989,Kanara,22,SC,Karnataka,Devaray Naik G,Indian National Congress,"9,70,866","6,68,957",68.9 %,"31,568",4.7%
1989,Kangra,3,GEN,Himachal Pradesh,Shanta Kumar,Bharatiya Janta Party,"7,37,973","5,13,513",69.6 %,"59,204",11.5%
1989,Kanker,19,ST,Madhya Pradesh [1947 - 1999],Arvind Netam,Indian National Congress,"8,50,767","4,50,405",52.9 %,"45,816",10.2%
1989,Kannauj,67,GEN,Uttar Pradesh [1947 - 1999],Chhotey Singh Yadav,Janata Dal,"9,42,420","5,43,259",57.7 %,"53,833",9.9%
1989,Kanpur,65,GEN,Uttar Pradesh [1947 - 1999],Subhashini Ali,Communist Party Of India (MARXIST),"10,47,192","4,41,255",42.1 %,"56,587",12.8%
1989,Kapadvanj,16,GEN,Gujarat,Gabhaji Mangaji Thakor,Bharatiya Janta Party,"9,46,333","5,20,120",55.0 %,"1,56,841",30.2%
1989,Karad,45,GEN,Maharashtra,Chavan Premalabai Dajisaheb,Indian National Congress,"9,48,262","5,78,593",61.0 %,"1,93,165",33.4%
1989,Karimganj,1,SC,Assam,Data Not Available,-,-,-,-,-,-
1989,Karimnagar,37,GEN,Andhra Pradesh,Chokka Rao Juvvadi,Indian National Congress,"10,75,755","6,69,734",62.3 %,"35,192",5.3%
1989,Karnal,3,SC,Haryana,Chiranjit Lal,Indian National Congress,"9,46,620","6,06,237",64.0 %,"8,673",1.4%
1989,Karol Bagh,7,GEN,Delhi [1977 Onwards],Kalka Dass,Bharatiya Janta Party,"4,81,032","2,89,278",60.1 %,"6,969",2.4%
1989,Karur,26,GEN,Tamil Nadu,"Thambithurai, M.",All India Anna Dravida Munnetra Kazhagam,"10,50,778","7,48,242",71.2 %,"2,38,751",31.9%
1989,Kasaragod,1,GEN,Kerala,M. Rammana Rai,Communist Party Of India (MARXIST),"10,10,280","8,02,722",79.5 %,"1,546",0.2%
1989,Katihar,25,GEN,Bihar [1947 - 1999],Yuvarj,Janata Dal,"8,55,079","6,30,832",73.8 %,"1,03,178",16.4%
1989,Katwa,40,GEN,West Bengal,Saifuddin Chaudhury,Communist Party Of India (MARXIST),"9,69,983","8,11,642",83.7 %,"1,09,109",13.4%
1989,Kendrapara,5,ST,Orissa,Rabi Ray,Janata Dal,"9,10,798","6,27,566",68.9 %,"96,791",15.4%
1989,Keonjhar,21,ST,Orissa,Govind Chandra Munda,Janata Dal,"9,05,556","4,74,770",52.4 %,"1,26,532",26.7%
1989,Khagaria,31,GEN,Bihar [1947 - 1999],Ram Sharan Yadav,Janata Dal,"9,46,945","5,93,189",62.6 %,"1,36,522",23.0%
1989,Khajuraho,6,GEN,Madhya Pradesh [1947 - 1999],Umabharti,Bharatiya Janta Party,"10,61,784","6,28,167",59.2 %,"1,93,345",30.8%
1989,Khalilabad,36,GEN,Uttar Pradesh [1947 - 1999],Ram Prasad Chaudhary,Janata Dal,"9,75,835","5,13,551",52.6 %,"60,299",11.7%
1989,Khammam,40,GEN,Andhra Pradesh,Jalagam Vengal Rao,Indian National Congress,"10,38,053","8,13,657",78.4 %,"59,252",7.3%
1989,Khandwa,34,GEN,Madhya Pradesh [1947 - 1999],Amritlal (Mannibhai),Bharatiya Janta Party,"8,68,671","5,35,120",61.6 %,"89,197",16.7%
1989,Khargone,35,GEN,Madhya Pradesh [1947 - 1999],Rameshwar Pathidar,Bharatiya Janta Party,"8,63,948","5,20,054",60.2 %,"40,898",7.9%
1989,Khed,41,SC,Maharashtra,Bankhele Kisanrao Baburao,Janata Dal,"9,34,837","5,60,627",60.0 %,"15,796",2.8%
1989,Kheri,15,GEN,Uttar Pradesh [1947 - 1999],Usha Verma,Indian National Congress,"9,44,231","4,51,923",47.9 %,"54,386",12.0%
1989,Khunti,52,ST,Bihar [1947 - 1999],Karia Munda,Bharatiya Janta Party,"7,55,724","3,43,951",45.5 %,"3,785",1.1%
1989,Khurja,77,SC,Uttar Pradesh [1947 - 1999],Bhagwan Dass,Janata Dal,"9,61,812","4,40,063",45.8 %,"47,543",10.8%
1989,Kishanganj,23,GEN,Bihar [1947 - 1999],M.J.Akbar,Indian National Congress,"9,56,458","5,59,966",58.6 %,"25,991",4.6%
1989,Kodarma,45,GEN,Bihar [1947 - 1999],Ritlal Prasad Verma,Bharatiya Janta Party,"9,64,011","5,48,098",56.9 %,"1,02,294",18.7%
1989,Kokrajhar,5,ST,Assam,Data Not Available,-,-,-,-,-,-
1989,Kolaba,3,GEN,Maharashtra,Antulay A. R.,Indian National Congress,"9,38,272","6,46,172",68.9 %,"1,15,434",17.9%
1989,Kolar,10,GEN,Karnataka,Y.Ramakrishna,Indian National Congress,"9,48,842","7,02,728",74.1 %,"1,32,602",18.9%
1989,Kolhapur,48,GEN,Maharashtra,Gaikwad Udaysingrao Nanasaheb,Indian National Congress,"8,93,490","5,29,153",59.2 %,"41,128",7.8%
1989,Kopargaon,40,GEN,Maharashtra,Vikhe E.V.,Indian National Congress,"8,58,141","5,14,804",60.0 %,"1,21,058",23.5%
1989,Koppal,4,SC,Karnataka,Basavaraj Patil,Janata Dal,"10,50,963","6,79,404",64.7 %,"23,088",3.4%
1989,Koraput,12,ST,Orissa,Gridhar Gamango,Indian National Congress,"8,92,137","3,71,881",41.7 %,"45,453",12.2%
1989,Kota,14,GEN,Rajasthan,Dau Dayal Joshi,Bharatiya Janta Party,"9,42,409","5,46,722",58.0 %,"1,28,640",23.5%
1989,Kottayam,13,GEN,Kerala,Ramesh Chennithala,Indian National Congress,"8,90,166","7,52,839",84.6 %,"53,533",7.1%
1989,Krishnagar,11,GEN,West Bengal,Ajoy Mukherjee,Communist Party Of India (MARXIST),"9,21,468","7,61,992",82.7 %,"16,153",2.1%
1989,Krishnagiri,14,GEN,Tamil Nadu,"Ramamoorthy, K.",Indian National Congress,"9,58,580","6,07,181",63.3 %,"2,01,494",33.2%
1989,Kurnool,26,GEN,Andhra Pradesh,Kotla Vijay Bhaskara Reddy,Indian National Congress,"9,68,645","6,55,434",67.7 %,"1,10,418",16.8%
1989,Kurukshetra,2,GEN,Haryana,Gurdial Singh Saini,Janata Dal,"9,15,880","6,15,902",67.3 %,"38,188",6.2%
1989,Kutch,1,SC,Gujarat,Babu Bhai Meghji Shah,Bharatiya Janta Party,"7,07,040","4,07,624",57.7 %,"81,564",20.0%
1989,Ladakh,4,GEN,Jammu & Kashmir,Mohd. Hassan,Independent,"1,01,738","87,863",86.4 %,"4,539",5.2%
1989,Lakhimpur,14,GEN,Assam,Data Not Available,-,-,-,-,-,-
1989,Lakshadweep,1,ST,Lakshadweep,P. M. Sayeed,Indian National Congress,"30,069","25,555",85.0 %,"1,156",4.5%
1989,Lalganj,46,SC,Uttar Pradesh [1947 - 1999],Ram Dhan,Janata Dal,"10,30,631","5,08,187",49.3 %,"4,082",0.8%
1989,Latur,35,GEN,Maharashtra,Patil Shivraj Vishwanath,Indian National Congress,"9,79,858","6,19,738",63.3 %,"43,855",7.1%
1989,Lohardaga,53,ST,Bihar [1947 - 1999],Sumati Oraon,Indian National Congress,"8,25,417","3,84,083",46.5 %,"39,072",10.2%
1989,Lucknow,20,GEN,Uttar Pradesh [1947 - 1999],Mandhata Singh,Janata Dal,"11,31,139","3,35,633",29.7 %,"15,296",4.6%
1989,Ludhiana,9,SC,Punjab,Rajinder Kaur Bulara,Shiromani Akali Dal (SIMRANJIT SINGH MANN),"11,35,916","6,79,799",59.9 %,"1,33,729",19.7%
1989,Machhlishahr,47,GEN,Uttar Pradesh [1947 - 1999],Shiv Sharan Verma,Janata Dal,"9,66,628","4,46,069",46.2 %,"67,184",15.1%
1989,Machilipatnam,12,GEN,Andhra Pradesh,Sambasivarao Kavuri,Indian National Congress,"9,08,538","7,00,112",77.1 %,"43,489",6.2%
1989,Madhepura,21,GEN,Bihar [1947 - 1999],Ramesh Kumar Yadav Ravi,Janata Dal,"9,76,967","6,73,041",68.9 %,"2,92,948",43.5%
1989,Madhubani,13,GEN,Bihar [1947 - 1999],Bhogendra Jha,Communist Party Of India,"9,81,067","5,58,378",56.9 %,"1,41,366",25.3%
1989,Madras Central,2,GEN,Tamil Nadu,Anbarasu Era,Indian National Congress,"10,26,829","6,23,899",60.8 %,"66,406",10.6%
1989,Madras North,1,SC,Tamil Nadu,D. Pandian,Indian National Congress,"13,45,150","8,19,293",60.9 %,"1,13,771",13.9%
1989,Madras South,3,GEN,Tamil Nadu,Vyjayantimala Bali,Indian National Congress,"13,97,773","8,34,725",59.7 %,"1,25,844",15.1%
1989,Madurai,24,GEN,Tamil Nadu,A.G.S. Ram Babu,Indian National Congress,"11,37,434","7,19,677",63.3 %,"2,13,778",29.7%
1989,Mahabubnagar,29,GEN,Andhra Pradesh,Mallikarjun,Indian National Congress,"10,38,379","6,89,986",66.5 %,"69,778",10.1%
1989,Maharajganj,6,GEN,Bihar [1947 - 1999],Chanrasbekhar,Janata Dal,"10,24,013","5,91,913",57.8 %,"2,17,318",36.7%
1989,Maharajganj,39,GEN,Uttar Pradesh [1947 - 1999],Harsh Vardhan,Janata Dal,"8,95,669","5,19,667",58.0 %,"14,990",2.9%
1989,Mahasamund,18,GEN,Madhya Pradesh [1947 - 1999],Vidyacharan Shukla,Janata Dal,"8,92,973","5,53,185",62.0 %,"12,894",2.3%
1989,Mahendragarh,7,GEN,Haryana,Birender Singh,Janata Dal,"10,57,536","6,50,168",61.5 %,"3,510",0.5%
1989,Mainpuri,69,GEN,Uttar Pradesh [1947 - 1999],Udai Pratap Singh,Janata Dal,"8,50,967","4,60,814",54.2 %,"84,291",18.3%
1989,Malda,7,GEN,West Bengal,Abul Barkat Ataul Ghani Khan Choudhury,Indian National Congress,"9,00,406","7,36,351",81.8 %,"29,897",4.1%
1989,Malegaon,13,GEN,Maharashtra,Mahale Haribhau,Janata Dal,"9,13,648","4,75,250",52.0 %,"14,054",3.0%
1989,Mandi,2,GEN,Himachal Pradesh,Maheshwar Singh,Bharatiya Janta Party,"7,56,145","4,70,730",62.3 %,"28,069",6.0%
1989,Mandla,24,ST,Madhya Pradesh [1947 - 1999],Mohan Lal,Indian National Congress,"8,11,764","3,78,834",46.7 %,"45,235",11.9%
1989,Mandsaur,40,GEN,Madhya Pradesh [1947 - 1999],Laxminarayan Pandey,Bharatiya Janta Party,"9,93,680","6,58,382",66.3 %,"1,02,325",15.5%
1989,Mandvi,25,GEN,Gujarat,Ghamit Chhitubhai Devibhai,Indian National Congress,"8,93,665","4,34,296",48.6 %,"46,139",10.6%
1989,Mandya,14,GEN,Karnataka,G.Made Gowda,Indian National Congress,"9,62,396","7,33,580",76.2 %,"74,889",10.2%
1989,Mangaldoi,8,GEN,Assam,Data Not Available,-,-,-,-,-,-
1989,Mangalore,17,GEN,Karnataka,Janardhana Poojary,Indian National Congress,"9,23,749","6,46,156",70.0 %,"91,097",14.1%
1989,Manjeri,5,GEN,Kerala,Ebrahim Sulaiman Sait,Muslim Leage,"10,17,274","8,11,009",79.7 %,"70,282",8.7%
1989,Mathura,74,GEN,Uttar Pradesh [1947 - 1999],Manvendra Singh,Janata Dal,"9,35,440","4,80,088",51.3 %,"37,713",7.9%
1989,Mathurapur,16,GEN,West Bengal,Radhikaranjan Pramanik,Communist Party Of India (MARXIST),"8,75,184","7,39,596",84.5 %,"22,632",3.1%
1989,Mavelikara,16,SC,Kerala,P. J. Kurien,Indian National Congress,"8,40,010","6,57,992",78.3 %,"57,182",8.7%
1989,Mayiladuturai,29,SC,Tamil Nadu,Pakeer Mohamed Hajee E.S.M,Indian National Congress,"9,10,538","6,80,108",74.7 %,"1,01,945",15.0%
1989,Mayurbhanj,1,GEN,Orissa,Bhagey Gobardhan,Janata Dal,"8,15,806","3,23,586",39.7 %,"22,588",7.0%
1989,Medak,33,GEN,Andhra Pradesh,Bagareddy M.,Indian National Congress,"10,57,204","7,36,786",69.7 %,"96,096",13.0%
1989,Meerut,80,GEN,Uttar Pradesh [1947 - 1999],Harish Pal,Janata Dal,"9,70,079","5,51,883",56.9 %,"1,22,041",22.1%
1989,Mehsana,12,GEN,Gujarat,A.K.Patel,Bharatiya Janta Party,"9,97,389","6,66,886",66.9 %,"1,35,330",20.3%
1989,Midnapore,32,GEN,West Bengal,Indrajit Gupta,Communist Party Of India,"9,44,374","7,60,379",80.5 %,"1,32,320",17.4%
1989,Miryalguda,42,GEN,Andhra Pradesh,B.N.Reddy,Indian National Congress,"10,91,124","8,16,183",74.8 %,"34,995",4.3%
1989,Mirzapur,54,GEN,Uttar Pradesh [1947 - 1999],Yusa Beg,Janata Dal,"10,31,084","4,77,366",46.3 %,"82,893",17.4%
1989,Misrikh,18,SC,Uttar Pradesh [1947 - 1999],Ram Lal Rahi,Indian National Congress,"8,82,435","4,62,471",52.4 %,"86,391",18.7%
1989,Mizoram,1,ST,Mizoram,C.Silvera,Indian National Congress,"3,91,700","2,28,202",58.3 %,"38,822",17.0%
1989,Mohanlalganj,21,SC,Uttar Pradesh [1947 - 1999],Sarju Prasad Saroj,Janata Dal,"8,88,330","4,10,008",46.2 %,"18,176",4.4%
1989,Monghyr,32,GEN,Bihar [1947 - 1999],Dhanraj Singh,Janata Dal,"10,15,385","7,12,863",70.2 %,"55,186",7.7%
1989,Moradabad,7,GEN,Uttar Pradesh [1947 - 1999],Ghulam Mohd. Khan Haji,Janata Dal,"9,49,266","5,04,312",53.1 %,"81,917",16.2%
1989,Morena,1,SC,Madhya Pradesh [1947 - 1999],Chhaviram,Bharatiya Janta Party,"9,93,784","4,23,484",42.6 %,"87,861",20.7%
1989,Mormugao,2,GEN,Goa,Faleiro Edurado Marthinho,Indian National Congress,"4,00,321","1,80,708",45.1 %,"22,066",12.2%
1989,Motihari,3,GEN,Bihar [1947 - 1999],Radha Mohan Singh,Bharatiya Janta Party,"9,36,758","5,51,310",58.9 %,"78,111",14.2%
1989,Mukundapuram,10,GEN,Kerala,Savithri Lakshmanan,Indian National Congress,"9,21,201","7,59,285",82.4 %,"18,754",2.5%
1989,Murshidabad,9,GEN,West Bengal,Masudal Hossain Syed,Communist Party Of India (MARXIST),"9,86,433","8,20,706",83.2 %,"56,544",6.9%
1989,Muvattupuzha,12,GEN,Kerala,P. C. Thomas,Kerala Congress(M),"8,95,057","7,32,761",81.9 %,"68,811",9.4%
1989,Muzaffarnagar,82,GEN,Uttar Pradesh [1947 - 1999],Mufti Mohammad Sayeed,Janata Dal,"9,20,249","5,70,608",62.0 %,"1,58,987",27.9%
1989,Muzaffarpur,10,GEN,Bihar [1947 - 1999],George Farnandes,Janata Dal,"9,81,763","7,26,622",74.0 %,"2,85,010",39.2%
1989,Mysore,16,GEN,Karnataka,Srikantadatta Narasimbharaj Wadeyar,Indian National Congress,"10,52,491","7,33,973",69.7 %,"2,49,364",34.0%
1989,Nabadwip,12,GEN,West Bengal,Asim Bala,Communist Party Of India (MARXIST),"10,74,607","9,18,063",85.4 %,"52,663",5.7%
1989,Nagaland,1,ST,Nagaland,Shikino Sam,Indian National Congress,"8,13,011","6,07,429",74.7 %,"1,23,947",20.4%
1989,Nagapattinam,30,GEN,Tamil Nadu,"Selvarasu, M",Communist Party Of India,"9,31,916","7,00,948",75.2 %,"21,523",3.1%
1989,Nagarkurnool,28,SC,Andhra Pradesh,Anatha Ramulu Mullu,Indian National Congress,"10,00,322","7,05,416",70.5 %,"71,174",10.1%
1989,Nagaur,25,GEN,Rajasthan,Nathu Ram Mirdha,Janata Dal,"10,70,178","6,53,477",61.1 %,"1,90,270",29.1%
1989,Nagercoil,39,GEN,Tamil Nadu,N.Dennis,Indian National Congress,"9,52,947","5,54,825",58.2 %,"78,797",14.2%
1989,Nagpur,23,GEN,Maharashtra,Purhit Banwarilal Bhagwandas,Indian National Congress,"11,83,672","7,26,153",61.4 %,"90,000",12.4%
1989,Nainital,4,GEN,Uttar Pradesh [1947 - 1999],Mahendra Singh Pal,Janata Dal,"9,58,516","5,07,462",52.9 %,"20,448",4.0%
1989,Nalanda,34,GEN,Bihar [1947 - 1999],Ram Saroop Prasad,Indian National Congress,"10,85,349","7,09,017",65.3 %,"11,212",1.6%
1989,Nalgonda,41,GEN,Andhra Pradesh,Chalilam Srinivasa Rao,Indian National Congress,"11,44,127","7,84,463",68.6 %,"41,850",5.3%
1989,Nanded,30,GEN,Maharashtra,Kabde Venkatesh Rukhmaji,Janata Dal,"10,65,156","5,82,495",54.7 %,"24,113",4.1%
1989,Nandurbar,15,GEN,Maharashtra,Gavit Mankrao Hodlya,Indian National Congress,"8,85,274","4,78,898",54.1 %,"1,06,466",22.2%
1989,Nandyal,27,GEN,Andhra Pradesh,Bojja Venkata Reddy,Indian National Congress,"10,01,172","7,11,179",71.0 %,"56,262",7.9%
1989,Narasapur,10,GEN,Andhra Pradesh,Bhupatiraju Vijaya Kumar Raju,Telugu Desam,"9,31,902","6,82,390",73.2 %,"13,802",2.0%
1989,Narasaraopet,17,GEN,Andhra Pradesh,Kasu Venkata Krishna Reddy,Indian National Congress,"11,38,866","7,79,017",68.4 %,"65,706",8.4%
1989,Nashik,12,ST,Maharashtra,Aher Daula Sonuji,Bharatiya Janta Party,"10,51,786","5,76,842",54.8 %,"30,653",5.3%
1989,Nawada,42,SC,Bihar [1947 - 1999],Prem Pardeep,Communist Party Of India (MARXIST),"11,52,371","6,58,708",57.2 %,"1,49,602",22.7%
1989,Nellore,19,SC,Andhra Pradesh,Putchalapalli Penchalaiah,Indian National Congress,"10,64,416","7,43,196",69.8 %,"71,839",9.7%
1989,New Delhi,1,GEN,Delhi [1977 Onwards],Lal Krishna Advani,Bharatiya Janta Party,"4,29,535","2,36,126",55.0 %,"31,841",13.5%
1989,Nilgiris,18,GEN,Tamil Nadu,"Prabhu, R.",Indian National Congress,"11,05,096","7,51,196",68.0 %,"1,73,771",23.1%
1989,Nizamabad,34,GEN,Andhra Pradesh,Taduri Bala Goud,Indian National Congress,"9,63,180","6,74,941",70.1 %,"24,099",3.6%
1989,Nowgong,10,GEN,Assam,Data Not Available,-,-,-,-,-,-
1989,Nowrangpur,13,GEN,Orissa,Khagapati Pradhani,Indian National Congress,"8,75,147","3,80,988",43.5 %,"3,452",0.9%
1989,Ongole,18,GEN,Andhra Pradesh,Rajamohana Reddy Mekapati,Indian National Congress,"11,07,153","7,28,716",65.8 %,"97,370",13.4%
1989,Osmanabad,36,GEN,Maharashtra,Kamble Arvind Tulshiram,Indian National Congress,"8,65,583","4,64,667",53.7 %,"1,50,092",32.3%
1989,Ottapalam,8,GEN,Kerala,K. R. Narayanan,Indian National Congress,"9,46,025","7,22,920",76.4 %,"26,187",3.6%
1989,Outer Delhi,3,GEN,Delhi [1977 Onwards],Tarif Singh,Janata Dal,"15,74,973","7,90,764",50.2 %,"52,333",6.6%
1989,Outer Manipur,2,ST,Manipur,Meijinlung Kamson,Indian National Congress,"6,16,903","4,77,354",77.4 %,"1,25,065",26.2%
1989,Padrauna,40,GEN,Uttar Pradesh [1947 - 1999],Baleshar,Janata Dal,"9,32,266","4,81,060",51.6 %,"48,281",10.0%
1989,Palamau,54,SC,Bihar [1947 - 1999],Jaorwar Ram,Janata Dal,"9,11,225","3,91,041",42.9 %,"33,396",8.5%
1989,Palani,22,GEN,Tamil Nadu,"Senapathi Gounder, A.",Indian National Congress,"10,33,981","6,32,454",61.2 %,"80,913",12.8%
1989,Palghat,7,GEN,Kerala,A. Vijayaraghavan,Communist Party Of India (MARXIST),"9,57,847","7,41,859",77.5 %,"1,286",0.2%
1989,Pali,21,GEN,Rajasthan,Gumanmall Lodha,Bharatiya Janta Party,"9,56,388","5,42,256",56.7 %,"1,67,328",30.9%
1989,Panaji,1,GEN,Goa,Gopal Mayokar,Maharashtrawadi Gomantak,"3,33,994","2,46,357",73.8 %,"15,837",6.4%
1989,Pandharpur,38,SC,Maharashtra,Thorat Sandipan Bhagwan,Indian National Congress,"9,79,118","4,81,585",49.2 %,"2,18,144",45.3%
1989,Panskura,29,SC,West Bengal,Gita Mukherjee,Communist Party Of India,"8,62,664","7,35,702",85.3 %,"1,26,302",17.2%
1989,Parbhani,31,GEN,Maharashtra,Deshmukh Ashok Anandrao,Independent,"9,28,898","5,36,267",57.7 %,"66,384",12.4%
1989,Parvathipuram,2,ST,Andhra Pradesh,Vijayaramaraju Satrucharla,Indian National Congress,"8,09,362","5,89,546",72.8 %,"42,641",7.2%
1989,Patan,13,GEN,Gujarat,Chawada Khem Chandbhai Somabhai,Janata Dal,"9,28,054","5,04,955",54.4 %,"2,13,054",42.2%
1989,Patiala,8,SC,Punjab,Atinderpal Singh,Independent,"10,17,093","6,46,981",63.6 %,"81,260",12.6%
1989,Patna,35,GEN,Bihar [1947 - 1999],Shailendra Nath Srivastava,Bharatiya Janta Party,"11,73,277","6,43,303",54.8 %,"21,593",3.4%
1989,Peddapalli,36,SC,Andhra Pradesh,G.Venkat Swamy,Indian National Congress,"10,96,253","6,79,405",62.0 %,"30,635",4.5%
1989,Perambalur,28,GEN,Tamil Nadu,"Asokaraj, A.",All India Anna Dravida Munnetra Kazhagam,"9,41,568","6,80,308",72.3 %,"1,36,176",20.0%
1989,Periyakulam,25,GEN,Tamil Nadu,"Mothiah, R.",All India Anna Dravida Munnetra Kazhagam,"10,15,762","6,63,502",65.3 %,"2,21,404",33.4%
1989,Phillaur,5,SC,Punjab,Harbhajan Lakha,Bahujan Samaj Party,"10,10,117","6,06,615",60.1 %,"8,124",1.3%
1989,Phulbani,15,GEN,Orissa,Nakul Nayak,Janata Dal,"9,44,347","5,57,080",59.0 %,"64,541",11.6%
1989,Phulpur,55,GEN,Uttar Pradesh [1947 - 1999],Ram Pujan Patel,Janata Dal,"9,51,231","5,17,340",54.4 %,"32,501",6.3%
1989,Pilibhit,13,GEN,Uttar Pradesh [1947 - 1999],Maneka Gandhi,Janata Dal,"9,10,250","4,95,090",54.4 %,"1,31,220",26.5%
1989,Pollachi,21,GEN,Tamil Nadu,"Raja Ravi Varma, B.",All India Anna Dravida Munnetra Kazhagam,"9,66,256","6,47,756",67.0 %,"2,31,309",35.7%
1989,Pondicherry,1,GEN,Pondicherry,P. Shanmugam,Indian National Congress,"5,74,557","3,83,306",66.7 %,"33,312",8.7%
1989,Ponnani,6,GEN,Kerala,G. M. Banat Walia,Muslim Leage,"9,91,943","7,10,929",71.7 %,"1,07,519",15.1%
1989,Porbandar,5,GEN,Gujarat,Manvar Balvantbhai Bachubhai,Janata Dal,"8,44,067","3,64,359",43.2 %,"67,369",18.5%
1989,Pratapgarh,24,GEN,Uttar Pradesh [1947 - 1999],Raja Dinesh Singh,Indian National Congress,"9,37,315","4,38,501",46.8 %,"4,206",1.0%
1989,Pudukkottai,32,GEN,Tamil Nadu,"Sundaraja, N.",Indian National Congress,"10,54,282","7,87,854",74.7 %,"2,71,136",34.4%
1989,Pune,42,SC,Maharashtra,Gadgil Vitthalaro Narhar,Indian National Congress,"10,70,901","6,87,651",64.2 %,"8,181",1.2%
1989,Puri,8,SC,Orissa,Nilamani Routray,Janata Dal,"9,41,735","6,27,370",66.6 %,"1,39,572",22.2%
1989,Purnea,24,GEN,Bihar [1947 - 1999],Taslimudin,Janata Dal,"9,23,058","5,75,046",62.3 %,"54,557",9.5%
1989,Purulia,34,GEN,West Bengal,Chitta Ranjan Mahata,All India Forward Bloc,"8,92,696","6,90,012",77.3 %,"1,38,895",20.1%
1989,Quilon,18,GEN,Kerala,S. Krishnakumar,Indian National Congress,"9,51,856","7,75,045",81.4 %,"27,462",3.5%
1989,Rae Bareli,23,GEN,Uttar Pradesh [1947 - 1999],Sheila Kaul,Indian National Congress,"9,58,439","4,92,021",51.3 %,"83,779",17.0%
1989,Raichur,3,GEN,Karnataka,R.Ambanna Naik Dore,Indian National Congress,"9,89,671","5,32,963",53.9 %,"88,922",16.7%
1989,Raiganj,5,GEN,West Bengal,Golam Yazdani,Indian National Congress,"9,94,246","7,63,803",76.8 %,"2,899",0.4%
1989,Raigarh,13,ST,Madhya Pradesh [1947 - 1999],Nand Kumar Sai,Bharatiya Janta Party,"8,10,049","4,55,799",56.3 %,"21,010",4.6%
1989,Raipur,17,GEN,Madhya Pradesh [1947 - 1999],Ramesh Bais,Bharatiya Janta Party,"8,88,021","5,20,823",58.7 %,"84,479",16.2%
